Event,Gender,Age,Age at Performance,,,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS,,,,
5 km,F,3,3y337d,3,337,45:48,2748,Fanny,O'Neill,USA,4/11/11,,Huntsville AL USA,3/14/15,,,,,,
5 km,F,4,4y53d,4,53,29:54,1794,Brooke,Johnson,USA,6/20/13,,Asbury Park NJ USA,8/12/17,,,,,,
5 km,F,5,5y308d,5,308,22:18,1338,Ava,Johnson,USA,8/22/10,,Pine Beach NJ USA,6/26/16,,,,,,
5 km,F,6,6y348d,6,348,20:58,1258,Ava,Johnson,USA,8/22/10,,Sea Girt NJ USA,8/5/17,,,,,,
5 km,F,7,7y192d,7,192,18:28,1108,Megan,Crum,USA,8/27/07,,South El Monte CA USA,3/7/15,,,,,,
5 km,F,8,8y311d,8,311,18:35,1115,Megan,Crum,USA,8/27/07,,La Palma CA USA,7/4/16,,,,,,
5 km,F,9,9y1d,9,1,17:54,1074,Megan,Crum,USA,8/27/07,,Fountain Valley CA USA,8/28/16,,,,,,
5 km,F,10,10y49d,10,49,17:56,1076,Megan,Crum,USA,8/27/07,,Huntington Beach CA USA,10/15/17,,,,,,
5 km,F,11,11y348d,11,348,17:29,1049,Grace,Ping,USA,7/7/03,,Winona MN USA,6/20/15,,,,,,
5 km,F,12,12y328d,12,328,17:17,1037,Annabella,Veltcheva,USA,4/24/04,,Clermont FL USA,3/18/17,,,,,,
5 km,F,13,13y140d,13,140,16:36,996,Grace,Ping,USA,7/7/03,,San Jose CA USA,11/24/16,,,,,,
5 km,F,14,14y255d,14,255,16:28,988,Yui,Fukuda,JPN,6/1/95,,Himeji JPN,2/11/10,,,,,,
5 km,F,15,15y306d,15,306,16:14,974,Pamela,Chepchumba,KEN,2/28/78,,Bolzano ITA,12/31/93,,,,,,
5 km,F,16,16y310d,16,310,15:19,919,Tirunesh,Dibaba,ETH,6/1/85,Carlsbad 5000,Carlsbad CA USA,4/7/02,,,,,,
5 km,F,17,17y316d,17,316,15:00,900,Tirunesh,Dibaba,ETH,6/1/85,Carlsbad 5000,Carlsbad CA USA,4/13/03,,,,,,
5 km,F,18,18y255d,18,255,15:05,905,Rose,Cheruiyot Kosgei,KEN,7/21/76,Carlsbad 5000,Carlsbad CA USA,4/2/95,,,,,,
5 km,F,19,19y306d,19,306,14:51,891,Tirunesh,Dibaba,ETH,6/1/85,,Carlsbad CA USA,4/3/05,,,,,,
5 km,F,20,20y28d,20,28,14:58,898,Lydia,Cheromei Kogo,KEN,5/11/77,,Bern SUI,6/8/97,,,,,,
5 km,F,21,21y68d,21,68,15:00,900,Buze,Diriba Kejela,ETH,2/9/94,,Boston MA USA,4/18/15,,,,,,
5 km,F,22,22y142d,22,142,14:46,886,Meseret,Defar,ETH,11/18/83,,Carlsbad CA USA,4/9/06,,,,,,
5 km,F,23,23y65d,23,65,14:54,894,Buze,Diriba Kejela,ETH,2/9/94,,Boston MA USA,4/15/17,,,,,,
5 km,F,24,24y49d,24,49,14:48,888,Genzebe,Dibaba Kenini,ETH,2/8/91,Carlsbad 5000,Carlsbad CA USA,3/29/15,,,,,,
5 km,F,25,25y157d,25,157,14:55,895,Isabella,Ochichi,KEN,10/28/79,Carlsbad 5000,Carlsbad CA USA,4/3/05,,,,,,
5 km,F,26,26y47d,26,47,14:44,884,Sifan,Hassan,NED,1/1/93,Herculis 5K,"Monaco, MON",2/17/19,,WR,,,,
5 km,F,27,27y259d,27,259,14:57,897,Paula,Radcliffe,ENG,12/17/73,,London ENG,9/2/01,,,,,,
5 km,F,28,28y6d,28,6,15:10,910,Elana,Meyer,RSA,10/10/66,,Providence RI USA,10/16/94,,,,,,
5 km,F,29,29y331d,29,331,14:47,887,Lornah,Kiplagat,NED,5/1/74,,Brunssum NED,3/28/04,,,,,,
5 km,F,30,30y230d,30,230,14:50,890,Molly,Huddle,USA,8/31/84,,Boston MA USA,4/18/15,,,,,,
5 km,F,31,31y184d,31,184,14:52,892,Mamitu,Daska Molisa,ETH,10/16/83,,Boston MA USA,4/18/15,,,,,,
5 km,F,32,32y227d,32,227,14:56,896,Molly,Huddle,USA,8/31/84,,Boston MA USA,4/15/17,,,,,,
5 km,F,33,33y161d,33,161,15:15,915,Judi,St Hilaire,USA,9/5/59,,Freeport BAH,2/13/93,,,,,,
5 km,F,34,34y281d,34,281,15:06,906,Sonia,O'Sullivan,IRL,11/28/69,,London ENG,9/5/04,,,,,,
5 km,F,35,35y340d,35,340,15:24,924,Elana,Meyer,RSA,10/10/66,,Providence RI USA,9/15/02,,,,,,
5 km,F,36,36y9d,36,9,15:30,930,Uta,Pippig,USA,9/7/65,,Providence RI USA,9/16/01,,,,,,
5 km,F,37,37y356d,37,356,15:30,930,Colleen,De Reuck,USA,4/16/64,Carlsbad 5000,Carlsbad CA USA,4/7/02,,,,,,
5 km,F,38,38y133d,38,133,15:24,924,Mary,Slaney,USA,8/4/58,,Palm Desert CA USA,12/15/96,,,,,,
5 km,F,39,39y46d,39,46,15:40,940,Edith,Masai,KEN,4/4/67,,Neuss GER,5/20/06,,,,,,
5 km,F,40,40y50d,40,50,15:48,948,Colleen,De Reuck,USA,4/16/64,USATF Women's 5 km Championships,Albany NY USA,6/5/04,,,,,,
5 km,F,41,41y276d,41,276,15:53,953,Jennifer,Rhines,USA,7/1/74,Carlsbad 5000,Carlsbad CA USA,4/3/16,,,,,,
5 km,F,42,42y225d,42,225,15:48,948,Deena,Kastor,USA,2/14/73,,San Jose CA USA,9/27/15,,,,,,
5 km,F,43,43y296d,43,296,16:25,985,Firiya,Sultanova,RUS,4/29/61,,Fort Myers FL USA,2/19/05,,,,,,
5 km,F,44,44y274d,44,274,16:01,961,Firiya,Sultanova,RUS,4/29/61,,Saint Augustine FL USA,1/28/06,,,,,,
5 km,F,45,45y275d,45,275,16:20,980,Catriona,McKiernan,IRL,11/30/69,,Dublin IRL,9/1/15,,,,,,
5 km,F,46,46y158d,46,158,16:34,994,Tatyana,Pozdniakova,UKR,3/4/55,,Manchester NH USA,8/9/01,,,,,,
5 km,F,47,47y157d,47,157,16:17,977,Tatyana,Pozdniakova,UKR,3/4/55,,Manchester NH USA,8/8/02,,,,,,
5 km,F,48,48y203d,48,203,16:14,974,Linda,Somers,USA,5/7/61,Silicon Valley Turkey Trot,San Jose CA USA,11/26/09,,,,,,
5 km,F,49,49y161d,49,161,16:29,989,Tatyana,Pozdniakova,UKR,3/4/55,,Manchester NH USA,8/12/04,,,,,,
5 km,F,50,50y160d,50,160,16:39,999,Tatyana,Pozdniakova,UKR,3/4/55,,Manchester NH USA,8/11/05,,,,,,
5 km,F,51,53y133d,53,133,17:04,1024,Monica,Joyce,USA,2/7/57,Plymouth YMCA Fathers Day 5K,"Plymouth, MI",6/20/10,F50-54 AR,,,,,
5 km,F,52,52y6d,52,6,17:02,1022,Fiona,Matheson,SCO,4/25/61,,Edinburgh SCO,5/1/13,,,,,,
5 km,F,53,53y126d,53,126,17:39,1059,Joan,Samuelson,USA,5/16/57,,Providence RI USA,9/19/10,,,,,,
5 km,F,54,54y284d,54,284,17:48,1068,Silke,Schmidt,GER,8/7/59,,Leiden NED,5/18/14,,,,,,
5 km,F,55,55y5d,55,5,17:57,1077,Julie,Buckley,ENG,7/8/56,,Doncaster ENG,7/13/11,,,,,,
5 km,F,56,56y64d,56,64,17:41,1061,Fiona,Matheson,SCO,4/25/61,,Clydebank SCO,6/28/17,,,,,,
5 km,F,57,57y187d,57,187,18:32,1112,Christine,Kennedy,USA,12/29/54,Santa Cruz Firecracker 5K,"Santa Cruz, CA",7/4/12,CA13073RS,cert from 2013,,,,
