Event,AGE,Time,TIME_SEC,FNAME,LNAME,Country,RACE_NAME,RACE_LOC,RACE_DATE,
Mile,40,4:50,290,Magdalena,Lewy Boulet,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,
Mile,41,5:29,329,Tammy,Nowik,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/21/15,
Mile,42,4:53,293,Sonja,Friend-Uhl,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,
Mile,43,5:00,300,Kris,Paaso,USA,Marin Miracle Mile,"San Rafael, CA",7/13/14,
Mile,44,4:57,297,Kris,Paaso,USA,Marin Miracle Mile,"San Rafael, Ca",7/12/15,
Mile,45,5:21,321,Jennifer,Bayliss,USA,Miracle Mile,"San Rafael, CA",7/30/16,
Mile,46,5:25,325,Nancy,Thomas,USA,Miracle Mile,"San Rafael, CA",7/30/16,
Mile,47,5:07,307,Sonja,Friend-Uhl,USA,Navy Mile,"Washington, DC",9/30/18,
Mile,48,5:06,306,Sonja,Friend-Uhl,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,
Mile,50,5:45,345,Lisa,Veneziano,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/21/15,
Mile,51,5:18,318,Doreen,McCoubrie,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,
Mile,52,5:23,323,Fiona,Bayly,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,
Mile,53,5:27,327,Marisa,Sutera Strange,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/26/16,
Mile,54,5:35,335,Lisa,Veneziano,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,
Mile,55,5:39,339,Marisa,Sutera Strange,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/24/18,
Mile,56,5:28,328,Marisa,Sutera Strange ,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,
Mile,57,5:32,332,Doreen,McCoubrie,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,
Mile,58,5:57,357,Jane,Welzel,USA,Mountain Avenue Mile,"Fort Collins, CO",8/8/13,
Mile,59,6:10,370,Robyn,Schmidt,USA,Mile of Truth,"Danville, CA",5/5/19,
Mile,60,5:54,354,Nancy,Simmons,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,
Mile,61,5:44,344,Kathryn,Martin,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,
Mile,62,6:05,365,Barbara,Broad,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,
Mile,63,5:39,339,Kathryn,Martin,USA,Fifth Avenue Mile,"New Yrk, NY",9/13/15,
Mile,64,5:48,348,Sabra,Harvey,USA,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,
Mile,65,6:08,368,Sabra,Harvey,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/22/14,
Mile,66,6:06,366,Sabra,Harvey,USA,"Run One San Jacinto, Mile","La Porte, TX",1/30/16,
Mile,68,6:07,367,Sabra,Harvey,USA,USATF Master's 1 Mile Championships,"Flint, MI",8/25/17,
Mile,69,6:39,399,Jeannie,Rice,USA,USATF Master's 1 Mile Championships,"Flint, MI",8/25/17,
Mile,70,6:38,398,Jeannie,Rice,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/24/18,
Mile,71,6:25,385,Jeannie,Rice,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,
Mile,74,8:03,483,Marilyn,Schnobrich,USA,Medtronic TC Mile,"Minneapolis, MN",5/12/16,
Mile,75,8:22,502,Margie,Stoll,USA,Monty Mile ,Smyrna TN,8/6/16,
Mile,76,10:15,615,Catherine,Radle,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,
Mile,80,10:56,656,Madeline,Bost,USA,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,
Mile,81,8:57,537,Eve,Pell,USA,Mile of Truth,"Danville, CA",5/6/18,
Mile,82,11:31,691,Tami,Graf,USA,USATF Masters 1 Mile Championships ,"Flint, MI",8/24/18,
