Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,Comments,,,,,
Mile,F,40,,4:50,290,Magdalena,Lewy Boulet,USA,,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,,,,,,
Mile,F,41,,5:29,329,Tammy,Nowik,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/21/15,,,,,,,
Mile,F,42,,4:53,293,Sonja,Friend-Uhl,USA,,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,,,,,,
Mile,F,43,,5:00,300,Kris,Paaso,USA,,Marin Miracle Mile,"San Rafael, CA",7/13/14,,,,,,,
Mile,F,44,,4:57,297,Kris,Paaso,USA,,Marin Miracle Mile,"San Rafael, Ca",7/12/15,,,,,,,
Mile,F,45,,5:21,321,Jennifer,Bayliss,USA,,Miracle Mile,"San Rafael, CA",7/30/16,,,,,,,
Mile,F,46,,5:25,325,Nancy,Thomas,USA,,Miracle Mile,"San Rafael, CA",7/30/16,,,,,,,
Mile,F,47,,5:07,307,Sonja,Friend-Uhl,USA,,Navy Mile,"Washington, DC",9/30/18,,,,,,,
Mile,F,48,,5:06,306,Sonja,Friend-Uhl,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,,,,,
Mile,F,50,,5:45,345,Lisa,Veneziano,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/21/15,,,,,,,
Mile,F,51,,5:18,318,Doreen,McCoubrie,USA,,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,,,,,,
Mile,F,52,,5:23,323,Fiona,Bayly,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,,,,,
Mile,F,53,,5:27,327,Marisa,Sutera Strange,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/26/16,,,,,,,
Mile,F,54,,5:35,335,Lisa,Veneziano,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,,,,,
Mile,F,55,,5:39,339,Marisa,Sutera Strange,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/24/18,,,,,,,
Mile,F,56,,5:28,328,Marisa,Sutera Strange ,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,,,,,
Mile,F,57,,5:32,332,Doreen,McCoubrie,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,,,,,
Mile,F,58,,5:57,357,Jane,Welzel,USA,,Mountain Avenue Mile,"Fort Collins, CO",8/8/13,,,,,,,
Mile,F,59,,6:10,370,Robyn,Schmidt,USA,,Mile of Truth,"Danville, CA",5/5/19,,,,,,,
Mile,F,60,,5:54,354,Nancy,Simmons,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,,,,,
Mile,F,61,,5:44,344,Kathryn,Martin,USA,,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,,,,,,
Mile,F,62,,6:05,365,Barbara,Broad,USA,,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,,,,,,
Mile,F,63,,5:39,339,Kathryn,Martin,USA,,Fifth Avenue Mile,"New Yrk, NY",9/13/15,,,,,,,
Mile,F,64,,5:48,348,Sabra,Harvey,USA,,USATF Masters 1 Mile Championships,"Pittsburgh, PA",8/9/13,,,,,,,
Mile,F,65,,6:08,368,Sabra,Harvey,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/22/14,,,,,,,
Mile,F,66,,6:06,366,Sabra,Harvey,USA,,"Run One San Jacinto, Mile","La Porte, TX",1/30/16,,,,,,,
Mile,F,68,,6:07,367,Sabra,Harvey,USA,,USATF Master's 1 Mile Championships,"Flint, MI",8/25/17,,,,,,,
Mile,F,69,,6:39,399,Jeannie,Rice,USA,,USATF Master's 1 Mile Championships,"Flint, MI",8/25/17,,,,,,,
Mile,F,70,,6:38,398,Jeannie,Rice,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/24/18,,,,,,,
Mile,F,71,,6:25,385,Jeannie,Rice,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,,,,,
Mile,F,74,,8:03,483,Marilyn,Schnobrich,USA,,Medtronic TC Mile,"Minneapolis, MN",5/12/16,,,,,,,
Mile,F,75,,8:22,502,Margie,Stoll,USA,,Monty Mile ,Smyrna TN,8/6/16,,,,,,,
Mile,F,76,,10:15,615,Catherine,Radle,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,,,,,
Mile,F,80,,10:56,656,Madeline,Bost,USA,,USATF Masters 1 Mile Championships,"Flint, MI",8/23/19,,,,,,,
Mile,F,81,,8:57,537,Eve,Pell,USA,,Mile of Truth,"Danville, CA",5/6/18,,,,,,,
Mile,F,82,,11:31,691,Tami,Graf,USA,,USATF Masters 1 Mile Championships ,"Flint, MI",8/24/18,,,,,,,
5 km,F,3,3y338d,45:48,2748,Fanny,O'Neill,USA,4/11/11,,Huntsville AL USA,3/14/15,,,,,,,
5 km,F,4,4y53d,29:54,1794,Brooke,Johnson,USA,6/20/13,,Asbury Park NJ USA,8/12/17,,,,,,,
5 km,F,5,5y308d,22:18,1338,Ava,Johnson,USA,8/22/10,,Pine Beach NJ USA,6/26/16,,,,,,,
5 km,F,6,6y348d,20:58,1258,Ava,Johnson,USA,8/22/10,,Sea Girt NJ USA,8/5/17,,,,,,,
5 km,F,7,7y192d,18:28,1108,Megan,Crum,USA,8/27/07,,South El Monte CA USA,3/7/15,,,,,,,
5 km,F,8,8y312d,18:35,1115,Megan,Crum,USA,8/27/07,,La Palma CA USA,7/4/16,,,,,,,
5 km,F,9,9y1d,17:54,1074,Megan,Crum,USA,8/27/07,,Fountain Valley CA USA,8/28/16,,,,,,,
5 km,F,10,10y49d,17:56,1076,Megan,Crum,USA,8/27/07,,Huntington Beach CA USA,10/15/17,,,,,,,
5 km,F,11,11y349d,17:29,1049,Grace,Ping,USA,7/7/03,,Winona MN USA,6/20/15,,,,,,,
5 km,F,12,12y328d,17:17,1037,Annabella,Veltcheva,USA,4/24/04,,Clermont FL USA,3/18/17,,,,,,,
5 km,F,13,13y140d,16:36,996,Grace,Ping,USA,7/7/03,,San Jose CA USA,11/24/16,,,,,,,
5 km,F,14,14y255d,16:28,988,Yui,Fukuda,JPN,6/1/95,,Himeji JPN,2/11/10,,,,,,,
5 km,F,15,15y306d,16:14,974,Pamela,Chepchumba,KEN,2/28/78,,Bolzano ITA,12/31/93,,,,,,,
5 km,F,16,16y310d,15:19,919,Tirunesh,Dibaba,ETH,6/1/85,Carlsbad 5000,Carlsbad CA USA,4/7/02,,,,,,,
5 km,F,17,17y316d,15:00,900,Tirunesh,Dibaba,ETH,6/1/85,Carlsbad 5000,Carlsbad CA USA,4/13/03,,,,,,,
