Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS,
20 km,F,7,7y351d,1:54:01,6841,Elizabeth-Ann,Westrip,USA,1/28/09,,Potomac MD USA,1/14/17,,,
20 km,F,13,13y334d,1:24:32,5072,Laura,Cattivera,USA,1/21/68,,Zuma Beach CA USA,12/20/81,,,
20 km,F,14,14y314d,1:31:10,5470,Mary,Wazeter,USA,9/6/63,,Wilkes-Barre PA USA,7/16/78,,,
20 km,F,15,15y199d,1:27:30,5250,Suzanne,Girard,USA,11/30/62,Vestall XX,Vestal NY USA,6/17/78,,,
20 km,F,16,16y282d,1:16:01,4561,Rumiko,Kaneko,JPN,1/9/65,,Kobe JPN,10/18/81,,,
20 km,F,17,17y362d,1:09:41,4181,Azalech,Masresha Woldeselasse,ETH,5/4/88,,Maroilles FRA,5/1/06,,,
20 km,F,18,18y257d,1:06:31,3991,Kazue,Ogoshi,JPN,3/2/81,,Kobe JPN,11/14/99,,,
20 km,F,19,19y348d,1:06:24,3984,Dera,Dida Yami,ETH,10/26/96,,Paris FRA,10/9/16,,,
20 km,F,20,20y190d,1:05:36,3936,Yurika,Nakamura,JPN,4/1/86,,Debrecen HUN,10/8/06,,,
20 km,F,21,21y130d,1:04:39,3879,Hiwot,Gebrekidan Gebremaryam,ETH,5/11/95,,Copenhagen DEN,9/18/16,,,
20 km,F,22,22y181d,1:04:13,3853,Peres,Chepchirchir,KEN,9/27/93,,Cardiff WAL,3/26/16,,,
20 km,F,23,23y86d,1:04:35,3875,Genet,Ayalew Kassahun,ETH,12/31/92,,Cardiff WAL,3/26/16,,,
20 km,F,24,24y197d,1:05:32,3932,Kayoko,Fukushi,JPN,3/25/82,,Debrecen HUN,10/8/06,,,
20 km,F,25,25y235d,1:03:47,3827,Rita,Cheptoo Sitienei,KEN,2/15/81,,Debrecen HUN,10/8/06,,,
20 km,F,26,26y314d,1:03:54,3834,Lornah,Kiplagat,NED,5/1/74,,Alphen aan den Rijn NED,3/11/01,,,
20 km,F,27,27y99d,1:04:19,3859,Mary,Wacera Ngugi,KEN,12/17/88,,Cardiff WAL,3/26/16,,,
20 km,F,28,28y127d,1:06:40,4000,Joyce,Chepchumba Koech,KEN,11/6/70,,Alphen aan den Rijn NED,3/13/99,,,
20 km,F,29,29y78d,1:05:03,3903,Sarah,Chepchirchir,KEN,7/27/84,,Paris FRA,10/13/13,,,
20 km,F,30,30y231d,1:05:30,3930,Mirriam,Wangari Karienye,KEN,2/22/79,,Paris FRA,10/11/09,,,
20 km,F,31,31y131d,1:05:42,3942,Nataliya,Berkut,UKR,5/30/75,,Debrecen HUN,10/8/06,,,
20 km,F,32,32y160d,1:03:21,3801,Lornah,Kiplagat,NED,5/1/74,,Debrecen HUN,10/8/06,,,
20 km,F,33,33y137d,1:07:04,4024,Eloise,Wellings,AUS,11/9/82,,Cardiff WAL,3/26/16,,,
20 km,F,34,34y144d,1:05:11,3911,Colleen,De Reuck,USA,4/16/64,New Haven 20K,New Haven CT USA,9/7/98,,,
20 km,F,35,35y344d,1:07:12,4032,Nadezhda,Wijenberg,NED,4/2/64,,Alphen aan den Rijn NED,3/12/00,,,
20 km,F,36,36y258d,1:03:23,3803,Constantina,Dita,ROM,1/23/70,,Debrecen HUN,10/8/06,,,
