Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,,,,,,,
30 km,M,6,6y195d,3:46:56,13616,Charlie,Westrip,USA,8/15/10,,Kingston TN USA,2/26/17,,,,,,,,
30 km,M,15,15y259d,1:46:13,6373,Mitch,Kingery,USA,7/3/56,,Pacific Grove CA USA,3/19/72,,,,,,,,
30 km,M,17,17y95d,1:43:27,6207,Scott,Jenkins,USA,9/24/63,,Lake Bluff IL USA,12/28/80,,,,,,,,
30 km,M,18,18y296d,1:32:12,5532,Hiroki,Takano,JPN,4/14/88,,Ome JPN,2/4/07,,,,,,,,
30 km,M,19,19y360d,1:31:00,5460,Kazuyoshi,Kudo,JPN,2/27/61,,Kumamoto JPN,2/22/81,,,,,,,,
30 km,M,20,20y95d,1:28:52,5332,Yuma,Hattori,JPN,11/13/93,,Kumamoto JPN,2/16/14,,,,,,,,
30 km,M,21,21y173d,1:29:51,5391,Chihiro,Miyawaki,JPN,8/28/91,,Kumamoto JPN,2/17/13,,,,,,,,
30 km,M,22,22y361d,1:28:36,5316,Takayuki,Matsumiya,JPN,2/21/80,,Kumamoto JPN,2/16/03,,,,,,,,
30 km,M,23,23y247d,1:29:34,5374,Tomoo,Tsubota,JPN,6/16/77,,Kumamoto JPN,2/18/01,,,,,,,,
30 km,M,24,24y302d,1:29:28,5368,Toshiyuki,Hayata,JPN,5/2/68,,Kagoshima JPN,2/28/93,,,,,,,,
30 km,M,25,25y287d,1:27:34,5254,Sisay,Lemma Kasaye,ETH,12/12/90,,Berlin GER,9/25/16,,,,,,,,
30 km,M,26,26y162d,1:30:04,5404,Takeo,Nakahara,JPN,9/17/68,,Kumamoto JPN,2/26/95,,,,,,,,
30 km,M,27,27y319d,1:27:29,5249,Evans,Kiplagat Chebet,KEN,11/10/88,,Berlin GER,9/25/16,,,,,,,,
30 km,M,28,28y79d,1:30:07,5407,Yoshinori,Oda,JPN,12/5/80,,Kumamoto JPN,2/22/09,,,,,,,,
30 km,M,29,29y244d,1:29:21,5361,Toshihiko,Seko,JPN,7/15/56,,Hiroshima JPN,3/16/86,,,,,,,,
30 km,M,30,30y49d,1:27:26,5246,Alfers,Lagat Kipruto,KEN,8/7/86,,Berlin GER,9/25/16,,,,,,,,
30 km,M,31,31y348d,1:28:56,5336,Emanuel,Mutai Kipchirchir,KEN,10/12/84,,Berlin GER,9/25/16,,,,,,,,
30 km,M,32,32y187d,1:30:49,5449,Keita,Fujino,JPN,8/17/67,,Kumamoto JPN,2/20/00,,,,,,,,
30 km,M,33,33y300d,1:28:00,5280,Geoffrey,Ronoh,KEN,11/29/82,,Berlin GER,9/25/16,,,,,,,,
30 km,M,34,34y194d,1:27:26,5246,Wilson,Kipsang Kiprotich,KEN,3/15/82,,Berlin GER,9/25/16,,,,,,,,
30 km,M,35,35y209d,1:30:33,5433,Rachid,Kishri,MAR,3/1/75,,Lugano SUI,9/26/10,,,,,,,,
30 km,M,36,36y157d,1:29:31,5371,Suleiman,Simotwo Kipses,KEN,4/21/80,,Berlin GER,9/25/16,,,,,,,,
30 km,M,37,37y65d,1:31:44,5504,Kenjiro,Jitsui,JPN,12/16/68,,Ome JPN,2/19/06,,,,,,,,
30 km,M,38,38y233d,1:34:00,5640,Stephen,Ndungu Muchiri,KEN,6/1/67,,Nairobi KEN,1/20/06,,,,,,,,
30 km,M,39,39y295d,1:32:38,5558,Jean-Damascene,Habarurema,FRA,12/4/76,,Berlin GER,9/25/16,,,,,,,,
30 km,M,40,40y96d,1:29:45,5385,Mark,Kiptoo Kosgei,KEN,6/21/76,,Berlin GER,9/25/16,,,,,,,,
30 km,M,41,41y206d,1:36:23,5783,Adriano,Brentegani,ITA,9/3/62,,Novellara ITA,3/28/04,,,,,,,,
30 km,M,42,42y198d,1:35:28,5728,Geraldo,Antonio daSilva,BRA,5/31/60,,Cascavel BRA,12/15/02,,,,,,,,
30 km,M,43,43y351d,1:40:22,6022,Brad,Hawthorne,USA,11/29/55,,Clarksburg CA USA,11/14/99,,,,,,,,
30 km,M,44,44y166d,1:38:09,5889,Erik-Verner,Ostbye,SWE,1/25/21,,Uppsala SWE,7/10/65,,,,,,,,
30 km,M,45,45y96d,1:39:18,5958,Bill,Rodgers,USA,12/23/47,,Hamilton ON CAN,3/28/93,,,,,,,,
30 km,M,46,46y227d,1:35:23,5723,John,Maundu Nthiwa,KEN,6/19/55,,Nairobi KEN,2/1/02,,,,,,,,
30 km,M,47,47y43d,1:45:43,6343,Jim,McDonagh,USA,2/14/24,National Senior AAU,"Rockville, MD",3/28/71,RRIC,,,,,,,
30 km,M,48,48y169d,1:37:08,5828,Erik-Verner,Ostbye,SWE,1/25/21,,Falkenberg SWE,7/13/69,,,,,,,,
30 km,M,49,49y292d,1:43:56,6236,Ed,Stabler,USA,5/30/29,,NY,3/18/79,RRIC,,,,,,,
30 km,M,50,50y154d,1:49:32,6572,Fritz,Mueller,USA,5/11/36,,MN,10/12/86,RRIC,,,,,,,
30 km,M,51,51y173d,1:46:42,6402,Norman,Green,USA,6/27/32,Central Park,"New York, NY",12/17/83,,,,,,,,
30 km,M,52,52y28d,1:51:20,6680,Vladimir,Kotov,BLR,2/21/58,,Parow RSA,3/21/10,,,,,,,,
30 km,M,53,53y41d,1:46:47,6407,Vladimir,Kotov,BLR,2/21/58,,Parow RSA,4/3/11,,,,,,,,
30 km,M,54,54y32d,1:49:41,6581,Vladimir,Kotov,BLR,2/21/58,,Parrow RSA,3/25/12,,,,,,,,
30 km,M,55,55y251d,1:51:36,3096,David,Sweeney,AUS,9/26/61,,Brisbane AUS,6/4/17,,,,,,,,
30 km,M,56,56y139d,1:46:33,6393,Norman,Green,USA,6/27/32,,Clarksburg CA USA,11/13/88,,,,,,,,
30 km,M,57,57y138d,1:49:14,6554,Norman,Green,USA,6/27/32,,Clarksburg CA USA,11/12/89,,,,,,,,
30 km,M,58,58y31d,1:54:32,6872,Steven,Deram,BEL,1/10/55,,Schoorl NED,2/10/13,,,,,,,,
30 km,M,59,59y348d,2:01:38,7298,Inocencio,Cantu,USA,12/28/33,First Colony,"Sugar Land, TX",12/11/93,RRIC,,,,,,,
30 km,M,60,60y47d,1:50:53,6653,Brian,Pilcher,USA,8/23/56,Chicago Marathon (30K split),"Chicago, IL",10/9/16,Andy Carr,,,,,,,
30 km,M,61,61y151d,2:00:41,7241,Jim,O'Neil,USA,5/14/25,Twin Cities Marathon (30K Split),"Minneapolis, MN",10/12/86,RRIC & Andy Carr,,,,,,,
30 km,M,62,62y184d,2:04:14,7454,Warren,Utes,USA,6/25/20,Midwest Masters,IL,12/26/82,RRIC & Andy Carr,,,,,,,
30 km,M,63,63y21d,1:57:07,7027,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/27/94,,,,,,,,
30 km,M,64,64y71d,2:00:26,7226,Joe,Burgasser,USA,9/13/38,Paul Debruyn,"Ormond Beach, FL",11/23/02,Andy Carr,,,,,,,
30 km,M,65,65y133d,2:08:46,7726,George,Sheehan,USA,11/5/18,,NY,3/18/84,RRIC,,,,,,,
30 km,M,66,66y173d,1:58:12,7092,Clive,Davies,USA,8/17/15,Oregon Track Club,"Portland, OR",2/6/82,M65-69 AR,,,,,,,
30 km,M,67,67y58d,2:14:11,8051,Peter,vanVeen,NED,12/18/48,,Schoorl NED,2/14/16,,,,,,,,
30 km,M,68,68y22d,1:58:39,7119,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/28/99,,,,,,,,
30 km,M,69,69y20d,1:57:40,7060,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/26/00,,,,,,,,
30 km,M,70,70y19d,2:00:56,7256,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/25/01,,,,,,,,
30 km,M,71,86y284d,2:13:01,7981,Clive,Davies,USA,1/2/00,Twin Cities Marathon (30K Split),"Minneapolis, MN",10/12/86,M70-74 AR,,,,,,,
30 km,M,72,72y37d,2:26:38,8798,Eddie,Lewin,USA,8/4/16,Festiva,"Santa Barbara, CA",9/10/88,RRIC & Andy Carr,,,,,,,
30 km,M,73,73y22d,2:03:50,7430,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/28/04,,,,,,,,
30 km,M,74,74y245d,2:36:40,9400,Ed,Benham,USA,7/12/07,TAC 50Km (30K split),"Washington, DC",3/13/82,RRIC & Andy Carr,,,,,,,
30 km,M,75,75y212d,2:43:14,9794,Paul,Reese,USA,4/17/17,Clarksburg Country Run 30K,"Clarksburg, CA",11/15/92,RRIC & Andy Carr,,,,,,,
30 km,M,76,66y90d,3:08:34,11314,Edward,McKean-Smith,USA,7/1/19,,OR,9/29/85,RRIC,,,,,,,
30 km,M,77,77y174d,2:50:29,10229,Sam,Hirabayashi,USA,5/24/27,,Clarksburg CA USA,11/14/04,,,,,,,,
30 km,M,78,78y148d,2:28:00,8880,Ed,Benham,USA,7/12/07,TAC National Championship,"Sugar Land, TX",12/7/85,M75-79 AR,,,,,,,
30 km,M,80,80y210d,2:45:26,9926,Jerry,Johncock,USA,2/2/28,Milford Labor Day Run 30K,Milford MI USA,8/30/08,ARRS,,,,,,,
30 km,M,81,81y216d,2:58:32,10712,Jerry,Johncock,USA,2/2/28,Milford Labor Day Run 30K,Milford MI USA,9/5/09,ARRS,,,,,,,
