Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,,,,,,,
Marathon,M,4,4y351d,6:56:39,24999,Kevin,Nakano  ,USA,6/18/1967,,Juneau AK USA,6/3/1972,,,,,,,,
Marathon,M,6,6y167d,6:39:7,23947,Charlie,McHugh  ,USA,8/15/2010,,Gulf Shores AL USA,1/29/2017,,,,,,,,
Marathon,M,7,7y224d,4:4:8,14648,Wesley,McHugh  ,USA,1/25/1969,,Columbia MO USA,9/6/1976,,,,,,,,
Marathon,M,8,8y243d,3:15:20,11720,Wesley,Paul ,USA,1/25/1969,Chicago Marathon,Chicago IL USA,9/25/1977,,,,,,,,
Marathon,M,11,11y64d,2:50:2,10202,Wesley,Paul ,USA,1/25/1969,,Sedalia MO USA,3/30/1980,,,,,,,,
Marathon,M,12,12y225d,3:2:19,10939,Wesley,Paul ,USA,1/25/1969,,Columbia MO USA,9/7/1981,,,,,,,,
Marathon,M,13,13y146d,2:43:2,9782,Tom,Ansberry ,USA,8/22/1963,,San Diego CA USA,1/15/1977,,,,,,,,
Marathon,M,14,14y283d,2:41:43,9703,Kevin,Kitze ,USA,2/7/1960,,Allendale MI USA,11/16/1974,,,,,,,,
Marathon,M,15,15y225d,2:29:11,8951,Mitch,Kingery ,USA,7/3/1956,,Burlingame CA USA,2/13/1972,,,,,,,,
Marathon,M,16,16y359d,2:15:7,8107,Zhu-hong,Li ,CHN,10/22/1983,,Beijing CHN,10/15/2000,,,,,,,,
Marathon,M,17,17y358d,2:10:46,7846,Zhu-hong,Li ,CHN,10/22/1983,,Beijing CHN,10/14/2001,,,,,,,,
Marathon,M,18,18y223d,2:4:32,7472,Tsegay,Mekonen Assefa,ETH,6/15/1995,Dubai Marathon,Dubai UAE,1/24/2014,,,,,,,,
Marathon,M,19,19y239d,2:4:48,7488,Berhanu,Shiferaw Tolcha,ETH,5/31/1993,Dubai Marathon,Dubai UAE,1/25/2013,,,,,,,,
Marathon,M,20,20y221d,2:4:46,7486,Tsegay,Mekonen Assefa,ETH,6/15/1995,Dubai Marathon,Dubai UAE,1/22/2016,,,,,,,,
Marathon,M,21,21y30d,2:4:23,7463,Ayele,Abshiro Biza,ETH,12/28/1990,Dubai Marathon,Dubai UAE,1/27/2012,,,,,,,,
Marathon,M,22,22y248d,2:4:52,7492,Feyisa,Lelisa Gemechu,ETH,2/1/1990,Chicago Marathon,Chicago IL USA,10/7/2012,,,,,,,,
Marathon,M,23,23y137d,2:4:15,7455,Birhanu,Legese Gurmese,ETH,9/11/1994,Dubai Marathon,Dubai UAE,1/26/2018,,,,,,,,
Marathon,M,24,24y128d,2:4:2,7442,Leul,Gebrselasie ,ETH,9/20/1993,Dubai Marathon,Dubai UAE,1/26/2018,,,,,,,,
Marathon,M,25,25y18d,2:2:48,7368,Birhanu,Legese Gurmese,ETH,9/11/1994,Berlin Marathon,Berlin GER,9/29/2019,,,,,,,,
Marathon,M,26,26y207d,2:3:38,7418,Patrick,Makau Musyoki,KEN,3/2/1985,Berlin Marathon,Berlin GER,9/25/2011,,,,,,,,
Marathon,M,27,27y76d,2:2:55,7375,Mosinet,Geremew Bayih,ETH,2/12/1992,London Marathon,London ENG,4/28/2019,,,,,,,,
Marathon,M,28,28y291d,2:3:36,7416,Sisay,Lemma Kasaye,ETH,12/12/1990,Berlin Marathon,Berlin GER,9/29/2019,,,,,,,,
Marathon,M,29,29y351d,2:3:14,7394,Emanuel,Mutai Kipchirchir,KEN,10/12/1984,Berlin Marathon,Berlin GER,9/28/2014,,,,,,,,
Marathon,M,30,30y250d,2:2:57,7377,Dennis,Kipruto Kimetto,KEN,1/22/1984,Berlin Marathon,Berlin GER,9/28/2014,,,,,,,,
